"Table with row headers in Column A, and column headers in row 3",,,
Supplemental Table 1.,,,
Percentage of Workers Who Commuted by Bicycle in Small Cities: 2008Ð2012 ,,,
"(Total City Population of 20,000Ð99,999)1",,,
"(For information on confidentiality protection, sampling error, and definitions, see www.census.gov/acs/www/Downloads/data_documentation/ Accuracy
/ACS_Accuracy_of_Data_2012.pdf)",,,
City,Number of workers who commuted by bicycle,Percentage of workers,"Margin of 
error (±)2 "
"Charlottesville city, Virginia ",753,3.7,0.9
"Chaska city, Minnesota ",24,0.2,0.2
"Chelsea city, Massachusetts ",136,0.8,0.6
"Chester city, Pennsylvania ",104,0.9,0.8
"Chesterfield city, Missouri ",14,0.1,0.1
"Cheyenne city, Wyoming ",207,0.7,0.3
"Chicago Heights city, Illinois ",99,0.9,0.8
"Chico city, California ","2,239",5.8,1.0
"Chicopee city, Massachusetts ",129,0.5,0.6
"Chillicothe city, Ohio ",14,0.2,0.2
"Chino city, California ",97,0.3,0.2
"Chino Hills city, California ",206,0.6,0.7
"Christiansburg town, Virginia ",0,0.0,0.3
"Cicero town, Illinois ",312,0.9,0.5
"Citrus Heights city, California ",137,0.4,0.2
"Claremont city, California ",296,2.0,0.7
"Clarksville town, Indiana ",27,0.3,0.3
"Clearfield city, Utah ",39,0.3,0.3
"Cleburne city, Texas ",0,0.0,0.3
"Clermont city, Florida ",18,0.2,0.2
"Cleveland city, Tennessee ",51,0.3,0.3
"Cleveland Heights city, Ohio ",197,0.9,0.3
"Cliffside Park borough, New Jersey ",39,0.3,0.3
"Clifton city, New Jersey ",59,0.1,0.2
"Clinton city, Iowa ",58,0.5,0.4
"Clinton city, Mississippi ",0,0.0,0.3
"Clinton city, Utah ",13,0.1,0.2
"Clovis city, California ",156,0.4,0.2
"Clovis city, New Mexico ",58,0.4,0.3
"Coachella city, California ",15,0.1,0.2
"Coconut Creek city, Florida ",110,0.4,0.3
"Coeur d'Alene city, Idaho ",191,0.9,0.5
"College Park city, Maryland ",433,3.3,1.2
"College Station city, Texas ","1,126",2.6,0.5
"Colleyville city, Texas ",25,0.2,0.3
"Collierville town, Tennessee ",5,0.0,0.1
"Collinsville city, Illinois ",31,0.3,0.3
"Colton city, California ",133,0.6,0.6
"Columbia city, Tennessee ",54,0.4,0.5
"Columbus city, Indiana ",99,0.5,0.2
"Columbus city, Mississippi ",5,0.1,0.1
"Columbus city, Nebraska ",52,0.5,0.5
"Commerce City city, Colorado ",10,0.0,0.1
"Compton city, California ",154,0.5,0.2
"Concord city, New Hampshire ",93,0.4,0.3
"Concord city, North Carolina ",34,0.1,0.1
"Conroe city, Texas ",126,0.5,0.5
"Conway city, Arkansas ",104,0.4,0.2
"Cookeville city, Tennessee ",34,0.3,0.3
"Coon Rapids city, Minnesota ",101,0.3,0.2
"Cooper City city, Florida ",16,0.1,0.1
"Coppell city, Texas ",9,0.0,0.1
"Copperas Cove city, Texas ",25,0.2,0.2
"Coral Gables city, Florida ",144,0.7,0.5
"Corcoran city, California ",52,1.3,1.1
"Corinth city, Texas ",23,0.2,0.4
"Cornelius town, North Carolina ",7,0.1,0.1
"Coronado city, California ",527,4.8,1.3
"Corsicana city, Texas ",31,0.3,0.4
"Corvallis city, Oregon ","2,804",11.2,1.5
